id,data_hora,status_turb,niv_mont_grade,niv_jus_grade,corr_fase_a,corr_fase_b,corr_fase_c,tens_fase_a,tens_fase_b,tens_fase_c,excit_tens,excit_corr,freq,pot_ativa,pot_reativa,pot_aparente,fp,distrib,rotor,vel,horimetro,acum_energia,uhlm_temp_oleo,uhrv_temp_oleo,uhrv_pres_oleo,enrol_fase_a,enrol_fase_b,enrol_fase_c,bucha_rad_01,bucha_rad_02,gaxet_01,gaxet_02,gaxet_03,manc_la_guia,manc_lna_guia,manc_lna_esc,fluxo_01,fluxo_02,fluxo_03,ret_oleo,fluxo_agua_eixo,vib_la_eixo_x,vib_la_eixo_y,vib_lna_eixo_x,vib_lna_eixo_y,vib_turb_manc_rad,vib_turb_manc_guia,niv_oleo_cuba,niv_agua_cuba
353082,2025-10-31 00:00:19,1,1096.91,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.37,95.61,0.00,3211.98,7638.60,33.31,33.25,56.88,49.50,47.30,47.30,33.30,30.80,30.40,28.20,28.80,43.00,50.10,50.70,0.38,0.00,0.00,0.69,0.38,0.00,0.00,0.00,0.00,0.00,0.00,24.20,0.00
353087,2025-10-31 00:02:33,1,1096.89,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.21,95.54,0.00,3211.98,7638.60,33.31,33.25,56.72,49.50,47.20,47.20,33.20,30.80,30.40,28.20,28.80,42.90,50.00,50.60,0.38,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30,0.20
353092,2025-10-31 00:05:41,1,1096.89,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.72,95.54,0.00,3211.98,7638.60,33.31,33.19,56.56,49.40,47.10,47.10,33.20,30.80,30.40,28.20,28.80,42.90,50.00,50.50,0.38,0.00,0.00,0.69,0.09,0.00,0.00,0.00,0.00,0.00,0.00,24.80,0.20
353097,2025-10-31 00:07:55,1,1096.91,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.09,95.53,0.00,3211.98,7638.60,33.31,33.13,56.56,49.30,47.10,47.10,33.20,30.80,30.40,28.20,28.80,42.80,49.90,50.50,0.38,0.00,0.00,0.69,0.25,0.00,0.00,0.00,0.00,0.00,0.00,25.10,0.40
353102,2025-10-31 00:10:19,1,1096.90,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.12,95.54,0.00,3211.98,7638.60,33.31,33.13,56.41,49.20,47.00,47.00,33.20,30.80,30.40,28.20,28.80,42.80,49.90,50.50,0.38,0.00,0.00,0.69,0.31,0.00,0.00,0.00,0.00,0.00,0.00,25.20,0.00
353107,2025-10-31 00:12:34,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.29,95.58,0.00,3211.98,7638.60,33.10,33.06,56.41,49.20,46.90,47.00,33.20,30.80,30.40,28.20,28.80,42.70,49.80,50.40,0.34,0.00,0.00,0.69,0.06,0.00,0.00,0.00,0.00,0.00,0.00,25.70,0.50
353112,2025-10-31 00:15:42,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.22,95.57,0.00,3211.98,7638.60,33.10,33.06,56.25,49.10,46.80,46.80,33.20,30.70,30.40,28.20,28.80,42.70,49.80,50.30,0.38,0.00,0.00,0.69,0.06,0.00,0.00,0.00,0.00,0.00,0.00,25.90,0.30
353117,2025-10-31 00:18:06,1,1096.91,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.33,95.58,0.00,3211.98,7638.60,33.10,33.00,56.25,49.00,46.80,46.80,33.20,30.70,30.40,28.10,28.80,42.60,49.70,50.30,0.38,0.00,0.00,0.69,0.06,0.00,0.00,0.00,0.00,0.00,0.00,26.20,0.20
353122,2025-10-31 00:20:20,1,1096.91,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.44,95.62,0.00,3211.98,7638.60,33.10,33.00,56.09,48.90,46.70,46.70,33.20,30.70,30.40,28.20,28.70,42.60,49.70,50.20,0.34,0.00,0.00,0.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,26.50,0.30
353127,2025-10-31 00:22:44,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.29,95.58,0.00,3211.98,7638.60,32.89,32.94,56.09,48.90,46.60,46.60,33.20,30.70,30.40,28.10,28.70,42.50,49.60,50.20,0.34,0.00,0.00,0.69,0.19,0.00,0.00,0.00,0.00,0.00,0.00,27.10,0.20
353132,2025-10-31 00:25:42,1,1096.89,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.29,95.54,0.00,3211.98,7638.60,32.89,32.88,55.94,48.80,46.60,46.60,33.10,30.70,30.40,28.10,28.70,42.50,49.50,50.10,0.38,0.00,0.00,0.69,0.19,0.00,0.00,0.00,0.00,0.00,0.00,27.20,0.20
353137,2025-10-31 00:28:05,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,95.53,0.00,3211.98,7638.60,32.89,32.88,55.78,48.70,46.50,46.50,33.10,30.70,30.40,28.10,28.80,42.40,49.50,50.10,0.38,0.00,0.00,0.69,0.16,0.00,0.00,0.00,0.00,0.00,0.00,27.10,0.40
353142,2025-10-31 00:30:19,1,1096.91,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.29,95.61,0.00,3211.98,7638.60,32.89,32.81,55.78,48.60,46.40,46.40,33.10,30.70,30.30,28.10,28.70,42.40,49.40,50.00,0.34,0.00,0.00,0.69,0.16,0.00,0.00,0.00,0.00,0.00,0.00,27.60,0.30
353147,2025-10-31 00:32:44,1,1096.92,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,95.58,0.00,3211.98,7638.60,32.68,32.81,55.78,48.60,46.30,46.40,33.10,30.70,30.30,28.10,28.70,42.30,49.40,50.00,0.38,0.00,0.00,0.71,0.44,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.50
353152,2025-10-31 00:35:41,1,1096.92,1096.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.10,95.54,0.00,3211.98,7638.60,32.68,32.75,55.63,48.50,46.30,46.30,33.10,30.60,30.30,28.10,28.70,42.30,49.30,49.90,0.38,0.00,0.00,0.69,0.06,0.00,0.00,0.00,0.00,0.00,0.00,28.40,0.20
353157,2025-10-31 00:38:05,1,1096.92,1096.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.38,95.62,0.00,3211.98,7638.60,32.68,32.75,55.63,48.40,46.20,46.20,33.10,30.60,30.30,28.10,28.70,42.20,49.30,49.90,0.34,0.00,0.00,0.69,0.06,0.00,0.00,0.00,0.00,0.00,0.00,28.50,0.20
353162,2025-10-31 00:40:20,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.09,95.57,0.00,3211.98,7638.60,32.68,32.69,55.47,48.40,46.20,46.20,33.10,30.60,30.30,28.10,28.70,42.20,49.20,49.80,0.34,0.00,0.00,0.69,0.53,0.00,0.00,0.00,0.00,0.00,0.00,28.90,0.40
353167,2025-10-31 00:42:44,1,1096.92,1096.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,95.54,0.00,3211.98,7638.60,32.46,32.69,55.47,48.30,46.10,46.10,33.10,30.60,30.30,28.10,28.70,42.10,49.20,49.80,0.34,0.00,0.00,0.69,0.25,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.40
353172,2025-10-31 00:45:42,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.01,95.54,0.00,3211.98,7638.60,32.68,32.63,55.31,48.20,46.00,46.00,33.00,30.60,30.30,28.10,28.70,42.10,49.10,49.70,0.34,0.00,0.00,0.69,0.31,0.00,0.00,0.00,0.00,0.00,0.00,29.80,0.00
353177,2025-10-31 00:48:05,1,1096.92,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.46,95.54,0.00,3211.98,7638.60,32.46,32.56,55.31,48.20,45.90,46.00,33.00,30.60,30.30,28.10,28.70,42.00,49.10,49.70,0.34,0.00,0.00,0.69,0.34,0.00,0.00,0.00,0.00,0.00,0.00,30.10,0.00
353182,2025-10-31 00:50:33,1,1096.91,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.77,95.57,0.00,3211.98,7638.60,32.46,32.56,55.16,48.10,45.80,45.90,33.00,30.60,30.30,28.10,28.70,42.00,49.00,49.60,0.34,0.00,0.00,0.69,0.19,0.00,0.00,0.00,0.00,0.00,0.00,30.10,0.40
353187,2025-10-31 00:53:42,1,1096.92,1096.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,95.50,0.00,3211.98,7638.60,32.46,32.50,55.00,48.00,45.80,45.80,33.00,30.50,30.30,28.10,28.70,41.90,48.90,49.50,0.38,0.00,0.00,0.69,0.22,0.00,0.00,0.00,0.00,0.00,0.00,30.90,0.20
353192,2025-10-31 00:57:42,1,1096.89,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.29,95.54,0.00,3211.98,7638.60,32.25,32.50,54.84,47.90,45.70,45.70,33.00,30.50,30.30,28.10,28.70,41.80,48.80,49.40,0.34,0.00,0.00,0.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,31.30,0.30
353197,2025-10-31 00:59:55,1,1096.91,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.28,95.53,0.00,3211.98,7638.60,32.25,32.44,54.84,47.80,45.60,45.70,33.00,30.50,30.30,28.10,28.70,41.80,48.80,49.40,0.38,0.00,0.00,0.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,31.30,0.40
353202,2025-10-31 01:02:34,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.21,95.50,0.00,3211.98,7638.60,32.25,32.44,54.84,47.80,45.50,45.60,33.00,30.50,30.30,28.10,28.70,41.70,48.70,49.30,0.31,0.00,0.00,0.69,0.19,0.00,0.00,0.00,0.00,0.00,0.00,31.90,0.50
353207,2025-10-31 01:05:41,1,1096.90,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.38,95.51,0.00,3211.98,7638.60,32.25,32.38,54.69,47.70,45.50,45.50,33.00,30.50,30.30,28.00,28.70,41.70,48.70,49.30,0.34,0.00,0.00,0.69,0.34,0.00,0.00,0.00,0.00,0.00,0.00,32.30,0.00
353212,2025-10-31 01:08:34,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.34,95.54,0.00,3211.98,7638.60,32.25,32.38,54.69,47.60,45.40,45.40,32.90,30.50,30.30,28.00,28.60,41.60,48.60,49.20,0.34,0.00,0.00,0.69,0.19,0.00,0.00,0.00,0.00,0.00,0.00,32.70,0.30
353217,2025-10-31 01:11:56,1,1096.90,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.09,95.50,0.00,3211.98,7638.60,32.04,32.31,54.53,47.50,45.30,45.30,32.90,30.50,30.30,28.00,28.60,41.60,48.60,49.20,0.34,0.00,0.00,0.69,0.28,0.00,0.00,0.00,0.00,0.00,0.00,32.70,0.40
353222,2025-10-31 01:14:19,1,1096.91,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.42,95.51,0.00,3211.98,7638.60,32.04,32.31,54.38,47.50,45.30,45.30,32.90,30.50,30.30,28.00,28.60,41.50,48.50,49.10,0.34,0.00,0.00,0.69,0.31,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00
353227,2025-10-31 01:17:42,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.06,95.50,0.00,3211.98,7638.60,32.04,32.25,54.38,47.40,45.20,45.20,32.90,30.40,30.20,28.00,28.60,41.50,48.50,49.10,0.34,0.00,0.00,0.69,0.44,0.00,0.00,0.00,0.00,0.00,0.00,33.40,0.30
353232,2025-10-31 01:21:43,1,1096.91,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.24,95.50,0.00,3211.98,7638.60,31.82,32.19,54.38,47.30,45.10,45.10,32.90,30.40,30.30,28.00,28.60,41.40,48.40,49.00,0.38,0.00,0.00,0.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,33.90,0.20
353237,2025-10-31 01:26:20,1,1096.91,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.24,95.51,0.00,3211.98,7638.60,31.82,32.13,54.22,47.20,44.90,45.00,32.90,30.40,30.20,28.00,28.60,41.30,48.30,48.90,0.34,0.00,0.00,0.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,34.50,0.00
353242,2025-10-31 01:28:34,1,1096.89,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.77,95.53,0.00,3211.98,7638.60,31.82,32.13,54.06,47.10,44.90,44.90,32.80,30.40,30.20,28.00,28.60,41.30,48.20,48.80,0.34,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.70,0.60
353247,2025-10-31 01:31:42,1,1096.90,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,95.46,0.00,3211.98,7638.60,31.82,32.06,54.06,47.00,44.80,44.90,32.80,30.40,30.20,28.00,28.60,41.20,48.10,48.80,0.34,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.50,0.30
353252,2025-10-31 01:33:56,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.22,95.50,0.00,3211.98,7638.60,31.82,32.06,54.06,47.00,44.80,44.80,32.80,30.40,30.20,28.00,28.60,41.20,48.10,48.70,0.38,0.00,0.00,0.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,35.50,0.20
353257,2025-10-31 01:36:20,1,1096.89,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.21,95.46,0.00,3211.98,7638.60,31.61,32.06,53.91,46.90,44.70,44.70,32.80,30.40,30.20,28.00,28.60,41.10,48.10,48.70,0.34,0.00,0.00,0.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,35.80,0.40
353262,2025-10-31 01:39:56,1,1096.91,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.24,95.46,0.00,3211.98,7638.60,31.61,32.00,53.75,46.80,44.60,44.70,32.80,30.40,30.20,28.00,28.60,41.10,48.00,48.60,0.34,0.00,0.00,0.69,0.06,0.00,0.00,0.00,0.00,0.00,0.00,35.80,0.30
353267,2025-10-31 01:43:41,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.13,95.50,0.00,3211.98,7638.60,31.61,31.94,53.75,46.70,44.50,44.60,32.80,30.40,30.20,28.00,28.60,41.00,47.90,48.50,0.34,0.00,0.00,0.71,0.19,0.00,0.00,0.00,0.00,0.00,0.00,36.30,0.20
353272,2025-10-31 01:46:35,1,1096.91,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.44,95.51,0.00,3211.98,7638.60,31.40,31.94,53.59,46.70,44.50,44.50,32.80,30.30,30.20,28.00,28.60,41.00,47.90,48.50,0.34,0.00,0.00,0.69,0.34,0.00,0.00,0.00,0.00,0.00,0.00,36.60,0.50
353277,2025-10-31 01:49:42,1,1096.91,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.37,95.54,0.00,3211.98,7638.60,31.40,31.88,53.59,46.60,44.40,44.40,32.80,30.30,30.20,28.00,28.60,40.90,47.80,48.40,0.34,0.00,0.00,0.69,0.16,0.00,0.00,0.00,0.00,0.00,0.00,37.20,0.40
353282,2025-10-31 01:52:34,1,1096.91,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.45,95.51,0.00,3211.98,7638.60,31.40,31.88,53.44,46.50,44.30,44.40,32.80,30.30,30.20,28.00,28.60,40.90,47.80,48.40,0.31,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.60,0.00
353287,2025-10-31 01:55:42,1,1096.92,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.52,95.53,0.00,3211.98,7638.60,31.40,31.81,53.44,46.40,44.20,44.30,32.80,30.30,30.20,27.90,28.60,40.80,47.70,48.30,0.34,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.40,0.00
353292,2025-10-31 01:58:20,1,1096.91,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.12,95.50,0.00,3211.98,103.00,31.40,31.81,53.28,46.40,44.20,44.20,32.70,30.30,30.20,27.90,28.60,40.80,47.60,48.30,0.31,0.00,0.00,0.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,38.30,0.20
353297,2025-10-31 02:00:34,1,1096.91,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.56,95.50,0.00,3211.98,7638.60,31.40,31.81,53.28,46.30,44.10,44.20,32.70,30.30,30.20,28.00,28.60,40.70,47.60,48.20,0.34,0.00,0.00,0.69,0.06,0.00,0.00,0.00,0.00,0.00,0.00,38.30,0.30
353302,2025-10-31 02:03:44,1,1096.92,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.02,95.50,0.00,3211.98,7638.60,31.19,31.75,53.13,46.30,44.10,44.10,32.70,30.30,30.20,27.90,28.50,40.70,47.50,48.20,0.34,0.00,0.00,0.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,38.70,0.30
353307,2025-10-31 02:05:57,1,1096.91,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.38,95.50,0.00,3211.98,7638.60,31.40,31.75,53.13,46.20,44.00,44.10,32.70,30.30,30.20,27.90,28.50,40.60,47.50,48.10,0.34,0.00,0.00,0.69,0.06,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.20
353312,2025-10-31 02:08:21,1,1096.92,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.60,95.50,0.00,3211.98,7638.60,31.19,31.69,52.97,46.20,44.00,44.00,32.70,30.30,30.10,27.90,28.50,40.60,47.40,48.10,0.34,0.00,0.00,0.69,0.16,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00
353317,2025-10-31 02:10:34,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,95.46,0.00,3211.98,7638.60,31.19,31.69,52.97,46.10,43.90,44.00,32.70,30.30,30.10,28.00,28.50,40.60,47.40,48.00,0.31,0.00,0.00,0.69,0.09,0.00,0.00,0.00,0.00,0.00,0.00,39.50,0.30
353322,2025-10-31 02:14:20,1,1096.92,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.31,95.46,0.00,3211.98,7638.60,30.98,31.63,52.97,46.00,43.80,43.90,32.70,30.30,30.10,27.90,28.50,40.50,47.30,48.00,0.34,0.00,0.00,0.69,0.16,0.00,0.00,0.00,0.00,0.00,0.00,39.70,0.00
353327,2025-10-31 02:16:36,1,1096.91,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.01,95.50,0.00,3211.98,7638.60,30.98,31.63,52.97,45.90,43.80,43.80,32.70,30.20,30.10,27.90,28.50,40.50,47.30,47.90,0.34,0.00,0.00,0.69,0.19,0.00,0.00,0.00,0.00,0.00,0.00,22.50,0.20
353332,2025-10-31 02:19:42,1,1096.92,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.29,95.50,0.00,3211.98,7638.60,30.98,31.63,52.81,45.90,43.70,43.80,32.70,30.20,30.20,27.90,28.50,40.40,47.20,47.80,0.34,0.00,0.00,0.71,0.06,0.00,0.00,0.00,0.00,0.00,0.00,22.60,0.40
353337,2025-10-31 02:21:57,1,1096.91,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.29,95.47,0.00,3211.98,7638.60,30.98,31.56,52.66,45.80,43.60,43.70,32.70,30.20,30.10,27.90,28.50,40.40,47.20,47.80,0.38,0.00,0.00,0.69,0.03,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.30
353342,2025-10-31 02:24:20,1,1096.92,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,95.46,0.00,3211.98,7638.60,30.98,31.56,52.66,45.80,43.60,43.70,32.70,30.20,30.10,27.90,28.50,40.40,47.10,47.80,0.34,0.00,0.00,0.69,0.31,0.00,0.00,0.00,0.00,0.00,0.00,23.10,0.30
353347,2025-10-31 02:27:42,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.22,95.43,0.00,3211.98,7638.60,30.98,31.50,52.66,45.70,43.50,43.60,32.60,30.20,30.10,27.90,28.50,40.30,47.10,47.70,0.31,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.80,0.30
353352,2025-10-31 02:31:42,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,95.46,0.00,3211.98,7638.60,30.98,31.50,52.50,45.60,43.40,43.50,32.60,30.20,30.10,27.90,28.50,40.20,47.00,47.60,0.34,0.00,0.00,0.69,0.28,0.00,0.00,0.00,0.00,0.00,0.00,23.40,0.60
353357,2025-10-31 02:35:47,1,1096.89,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.37,95.50,0.00,3211.98,7638.60,30.76,31.44,52.34,45.50,43.30,43.40,32.60,30.20,30.10,27.90,28.50,40.20,46.90,47.60,0.31,0.00,0.00,0.69,0.25,0.00,0.00,0.00,0.00,0.00,0.00,24.20,0.40
353362,2025-10-31 02:37:56,1,1096.91,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.18,95.47,0.00,3211.98,7638.60,30.76,31.44,52.34,45.50,43.30,43.40,32.60,30.20,30.10,27.90,28.50,40.10,46.90,47.50,0.31,0.00,0.00,0.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,24.60,0.20
353367,2025-10-31 02:41:44,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.21,95.46,0.00,3211.98,7638.60,30.55,31.38,52.19,45.40,43.20,43.30,32.60,30.20,30.10,27.90,28.50,40.10,46.80,47.50,0.31,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.80,0.60
353372,2025-10-31 02:45:42,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,95.46,0.00,3211.98,7638.60,30.55,31.31,52.03,45.30,43.10,43.20,32.60,30.10,30.10,27.90,28.50,40.00,46.70,47.40,0.34,0.00,0.00,0.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,25.30,0.30
353377,2025-10-31 02:51:43,1,1096.89,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.21,95.50,0.00,3211.98,7638.60,30.55,31.31,51.88,45.20,43.00,43.10,32.60,30.10,30.10,27.90,28.50,39.90,46.60,47.30,0.34,0.00,0.00,0.69,0.22,0.00,0.00,0.00,0.00,0.00,0.00,26.20,0.60
353382,2025-10-31 02:53:56,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,95.40,0.00,3211.98,7638.60,30.55,31.25,51.88,45.10,43.00,43.00,32.60,30.10,30.10,27.90,28.50,39.90,46.60,47.30,0.34,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.20,0.40
353387,2025-10-31 02:57:56,1,1096.90,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.06,95.43,0.00,3211.98,7638.60,30.34,31.25,51.88,45.10,42.90,43.00,32.60,30.10,30.10,27.90,28.50,39.80,46.60,47.20,0.34,0.00,0.00,0.69,0.28,0.00,0.00,0.00,0.00,0.00,0.00,26.60,0.20
353392,2025-10-31 03:00:20,1,1096.90,1096.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.13,95.39,0.00,3211.98,7638.60,30.55,31.19,51.72,45.00,42.80,42.90,32.60,30.10,30.10,27.90,28.50,39.80,46.50,47.20,0.31,0.00,0.00,0.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,26.50,0.30
353397,2025-10-31 03:03:42,1,1096.91,1096.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.05,95.42,0.00,3211.98,7638.60,30.34,31.19,51.72,44.90,42.80,42.80,32.50,30.10,30.10,27.90,28.50,39.80,46.40,47.10,0.34,0.00,0.00,0.69,0.06,0.00,0.00,0.00,0.00,0.00,0.00,27.10,0.30
